x y r
0.4886519417426658 0.28302374470267855 0.02
0.7221342281879194 0.4808108108108108 0.004
0.5798074939809544 0.5534546229312116 0.004
0.4502684563758389 0.18405405405405406 0.004
0.967476510067114 0.4412432432432432 0.004
0.6956107382550335 0.16427027027027027 0.004
0.33091275167785233 0.19724324324324324 0.004
0.06567785234899329 0.3489189189189189 0.004
0.5870822062431382 0.4782576880070139 0.004
0.21155704697986577 0.18405405405405406 0.004
0.9210604026845637 0.4808108108108108 0.004
0.5360809588107044 0.29564462342028974 0.004
0.14524832214765102 0.19064864864864864 0.004
0.3176510067114094 0.46102702702702697 0.004
0.2911275167785235 0.3818918918918919 0.004
0.8812751677852348 0.3687027027027027 0.004
0.1518791946308725 0.3489189189189189 0.004
0.35080536912751675 0.058756756756756755 0.004
0.14524832214765102 0.09832432432432432 0.004
0.2579731543624161 0.2302162162162162 0.004
0.09883221476510068 0.27637837837837836 0.004
0.045785234899328855 0.2434054054054054 0.004
0.02589261744966443 0.46102702702702697 0.004
0.26460402684563755 0.06535135135135135 0.004
0.702241610738255 0.4082702702702703 0.004
0.10546308724832215 0.11151351351351352 0.004
0.0325234899328859 0.2434054054054054 0.004
0.10546308724832215 0.4016756756756757 0.004
0.9409530201342281 0.006 0.004
0.30438926174496644 0.1510810810810811 0.004
0.6491946308724832 0.045567567567567566 0.004
0.9011677852348993 0.3357297297297297 0.004
0.30438926174496644 0.41486486486486485 0.004
0.01926174496644295 0.26978378378378376 0.004
0.284496644295302 0.058756756756756755 0.004
0.9276912751677852 0.28297297297297297 0.004
0.841489932885906 0.3818918918918919 0.004
0.4966845637583892 0.18405405405405406 0.004
0.3773288590604027 0.16427027027027027 0.004
0.854751677852349 0.3357297297297297 0.004
0.29775838926174497 0.25 0.004
0.7818120805369128 0.21702702702702703 0.004
0.5149236897253949 0.24532574403860827 0.004
0.5709884305459557 0.3066609948582197 0.004
0.48342281879194626 0.10491891891891893 0.004
0.6757181208053691 0.21043243243243243 0.004
0.9741073825503355 0.26978378378378376 0.004
0.1518791946308725 0.4016756756756757 0.004
0.17840268456375838 0.03897297297297297 0.004
0.3994432484549105 0.47567680394200373 0.004
0.9807382550335569 0.19724324324324324 0.004
0.17840268456375838 0.1576756756756757 0.004
0.5447062448311588 0.2417243224620531 0.004
0.32428187919463086 0.3621081081081081 0.004
